Title,Latitude,Longitude,categories,Info Title,Title Place,hashes,score,userScore,heart,title,category,address,roadAddress,mapx,mapy
구이구이,37.525861,126.919252," 임연수, 생선구이",구이구이,여의도 ,"회식장소,다양한반찬, 칸막이",33,4.0,0,<b>구이구이</b>,한식>생선구이,서울특별시 영등포구 여의도동 17 101동 101호,서울특별시 영등포구 의사당대로 38 101동 101호,1269192519,375258614
오시오집,37.520829,126.931168," 청국장, 갑오징어",오시오집,여의도 ,"연말모임,여름보양식, 점심식사",33,4.0,1,<b>오시오집</b>,음식점>한식,서울특별시 영등포구 여의도동 43-3,서울특별시 영등포구 국제금융로 78 홍우빌딩,1269311682,375208295
추억의간이역,37.526722,126.897998," 탕수육, 술집",추억의간이역,영등포구청 ,"간단히한잔,맛있는안주",32,3.0,1,<b>추억의간이역</b>,음식점>한식,서울특별시 영등포구 당산동3가 132,서울특별시 영등포구 국회대로36길 8,1268979980,375267220
시골밥상,37.524888,126.891863," 미역국, 시골밥상",시골밥상,당산역 ,"회식,정갈한",32,3.0,0,<b>시골밥상</b>,음식점>한식,서울특별시 영등포구 당산동6가 237-64,서울특별시 영등포구 당산로46길 11,1269035531,375335534
다복집,37.529979,126.924846," 한식, 복집",다복집,여의도 ,"회식,불맛",32,5.0,2,<b>다복집</b>,음식점>한식,서울특별시 영등포구 여의도동 12-1 삼도오피스텔 지하 101호,서울특별시 영등포구 은행로 58 삼도오피스텔 지하 101호,1269248456,375299788
소울안,37.500612,126.920244," 정육식당, 한우",소울안,보라매역 ,"회식,참숯, 칸막이",31,0.0,0,,,,,,
우직화,37.530185,126.925968," 김치찌개, 계란말이",우직화,여의도 ,"회식,푸짐한, 점심식사, 칸막이",31,0.0,0,<b>우직화</b>,"한식>육류,고기요리",서울특별시 영등포구 여의도동 10 (세우빌딩 1F),서울특별시 영등포구 여의공원로 115 세우빌딩,1269259680,375301850
가야한정식,37.528428,126.920468," 한정식, 된장",가야한정식,여의도 ,"회식장소,정원",31,0.0,0,<b>가야한정식</b>,음식점>한식,서울특별시 영등포구 여의도동 14-32,서울특별시 영등포구 국회대로68길 23 정원빌딩 2층,1269204680,375284278
백년시래기,37.514865,126.899251," 고깃집, 시래기",백년시래기,문래동 ,"건강식,다양한메뉴, 점심식사, 셀프코너, 주차",31,0.0,0,<b>백년시래기</b> 하이테크시티점,음식점>한식,서울특별시 영등포구 문래동3가 55-20,서울특별시 영등포구 경인로 775 에이스하이테크시티,1268992507,375148652
양마니 여의도점,37.529567,126.921574," 대창, 양밥",양마니 여의도점,여의도 ,"점심회식,점심식사, 주차",31,0.0,0,<b>양마니 여의도점</b>,"한식>곱창,막창,양",서울특별시 영등포구 여의도동 13-21 맨하탄21상가 2층,서울특별시 영등포구 국회대로74길 20 맨하탄21상가 2층,1269215735,375295672
여의도족발 족발1번지,37.53017,126.920182," 족발, 마늘족발",여의도족발 족발1번지,여의도 ,"회식장소,존맛탱, 점심식사, 배달",31,0.0,0,<b>여의도족발 족발1번지</b>,"한식>족발,보쌈",서울특별시 영등포구 여의도동 14-5,서울특별시 영등포구 국회대로72길 6 여의도아크로폴리스,1269201818,375301701
돼지가춤추는애월식당,37.524106,126.884382," 삼겹살, 칼삼겹살",돼지가춤추는애월식당,영등포 ,"회식,점심특선, 점심식사, 셀프바, 주차",31,0.0,0,,,,,,
동백회관 본점,37.529617,126.92156," 해장국, 고사리육개장",동백회관 본점,국회의사당역 ,"해장,토속음식점, 셀프바, 주차",0,4.0,0,<b>동백회관 본점</b>,음식점>한식,서울특별시 영등포구 여의도동 13-21 맨하탄21 지하1층,서울특별시 영등포구 국회대로74길 20 맨하탄21 지하1층,1269215695,375296087
마포숯불갈비,37.507599,126.902988," 돼지갈비, 숯불갈비",마포숯불갈비,영등포 ,"회식장소,점심특선, 셀프바, 배달",0,0.0,0,<b>마포숯불갈비</b>,"한식>육류,고기요리",서울특별시 영등포구 도림동 147-39,서울특별시 영등포구 도신로 97,1269029879,375075994
명진집밥,37.520238,126.927249," 불낙전골, 한정식",명진집밥,여의도 ,"회식,국내산, 제로페이, 주차",0,0.0,0,<b>명진집밥</b>&amp;삼겹살,한식>한정식,서울특별시 영등포구 여의도동 36-4,서울특별시 영등포구 국제금융로8길 34 오륜빌딩 3층,1269272493,375202377
복담복국,37.519763,126.90388," 해장국, 복국",복담복국,영등포 ,"해장,숙취해소, 점심식사, 포장가능, 칸막이",0,0.0,0,<b>복담복국 영등포</b>점,"해물,생선요리>복어요리",서울특별시 영등포구 영등포동4가 69-1,서울특별시 영등포구 영등포로36길 3 1층 복담복국,1269038335,375197563
본가 선유도감자탕,37.535632,126.895826, 감자탕,본가 선유도감자탕,선유도 ,"해장,푸짐한, 셀프바",0,0.0,0,<b>본가 선유도감자탕</b>,한식>감자탕,서울특별시 영등포구 양평동4가 51-1,서울특별시 영등포구 양평로17길 9,1268958257,375356317
부용식당,37.523666,126.889277," 한식, 생삼겹살",부용식당,양평역 ,"주말데이트,",0,0.0,0,<b>부용식당</b>,음식점>한식,서울특별시 영등포구 양평동1가 148-8,서울특별시 영등포구 영등포로13길 14,1268892773,375236655
남서울정육식당,37.517463,126.896494," 정육식당, 이베리코꽃목살",남서울정육식당,문래동 ,"단체모임,가성비좋은, 셀프바, 주차",0,0.0,0,<b>남서울정육식당</b>,"육류,고기요리>정육식당",서울특별시 영등포구 문래동3가 55-5 로데오상가 221호,서울특별시 영등포구 당산로 34 로데오상가 221호,1268964938,375174632
도시해장국,37.529223,126.921924," 해장국, 양많은",도시해장국,여의도 ,"혼밥,줄서서먹는, 배달",0,0.0,0,<b>도시해장국</b>,한식>해장국,서울특별시 영등포구 여의도동 13-25 정우빌딩 지하1층 56호,서울특별시 영등포구 은행로 29 정우빌딩 지하1층 56호,1269222243,375288998
선유도메밀한우정,37.534048,126.89563," 한우, 메밀",선유도메밀한우정,선유도 ,"회식장소,착한맛집, 주차",0,0.0,0,<b>선유도메밀한우정</b>,한식>막국수,서울특별시 영등포구 양평동4가 8-3,서울특별시 영등포구 선유로45길 3,1268956298,375340483
제주도흑돼지,37.539326,126.892547," 삼겹살, 흑돼지",제주도흑돼지,선유도역 ,"회식,",0,0.0,0,<b>제주도흑돼지</b>,한식>돼지고기구이,서울특별시 영등포구 양평동5가  76,서울특별시 영등포구 양평로24길 9 양평동한신아파트,1268925474,375393260
대림국수 당산역점,37.534751,126.899684," 국수, 물비빔면",대림국수 당산역점,당산역 ,"회식하기좋은,",0,0.0,0,<b>대림국수 당산역점</b>,음식점>한식>국수,서울특별시 영등포구 당산동5가 33-9 1층 1호,서울특별시 영등포구 양평로 61 1층 1호,1268996693,375347374
만나,37.529796,126.921963," 청국장, 산채정식",만나,여의도 ,"건강식,어머니손맛",35,0.0,8,<b>만나</b>손칼국수,"한식>칼국수,만두",서울특별시 영등포구 여의도동 36-2,서울특별시 영등포구 국제금융로6길 33,1269269308,375207952
봉태민,37.526705,126.916488," 백반, 백반집",봉태민,여의도 ,"건강식,다양한반찬",31,3.0,0,<b>봉태민</b>,음식점>한식,서울특별시 영등포구 여의도동 18-3 한국스카우트연맹 지하1층,서울특별시 영등포구 국회대로62길 14 한국스카우트연맹 지하1층,1269164881,375267053
미각 식당,37.504758,126.921456," 고깃집, 묵무침",미각 식당,신길동 ,"건강식,가성비좋은",31,3.0,0,<b>미각식당</b>,음식점>한식,서울특별시 영등포구 신길동 802,서울특별시 영등포구 가마산로89길 3-1,1269214560,375047580
도림동두부마을 도림동본점,37.509973,126.897821," 두부, 두부버섯전골",도림동두부마을 도림동본점,신도림 ,"건강식,깔끔한",0,0.0,0,<b>도림동두부마을 도림동본점</b>,한식>두부요리,서울특별시 영등포구 도림동 206-4 동부빌딩,서울특별시 영등포구 도영로 45-1 동부빌딩,1268978209,375099729
선비쌈밥 롯데백화점영등포점,37.515684,126.907661," 쌈밥, 한식",선비쌈밥 롯데백화점영등포점,영등포 ,"어르신,푸짐한",0,0.0,0,<b>선비 쌈밥 롯데백화점 영등포점</b>,한식>쌈밥,서울특별시 영등포구 영등포동 618-496 롯데백화점 영등포점 10층,서울특별시 영등포구 경인로 846 롯데백화점 영등포점 10층,1269075066,375161752
목포 이모네,37.522725,126.909166," 회무침, 국수",목포 이모네,영등포 ,"식사모임,서민적인",36,3.4,1,<b>목포이모네</b>,음식점>한식,서울특별시 영등포구 영등포동7가 29-105,서울특별시 영등포구 버드나루로7길 16,1269091659,375227249
순흥골 도림점,37.509042,126.896211," 돼지갈비, 고기집",순흥골 도림점,신도림역 ,",가성비좋은, 점심식사, 저녁식사, 좌식테이블",36,4.0,0,<b>순흥골 도림점</b>,한식>돼지고기구이,서울특별시 영등포구 도림동 217-7,서울특별시 영등포구 도영로7길 4,1268962108,375090421
봉화식당,37.519305,126.905726," 김치찌개, 백반",봉화식당,영등포 ,",가성비좋은, 점심식사",35,0.0,0,<b>봉화식당</b>,음식점>한식,서울특별시 영등포구 영등포동3가 6-4,서울특별시 영등포구 영중로10길 3,1269057263,375193050
오내또,37.529084,126.9219," 퓨전한식, 덮밥",오내또,여의도 ,",가성비좋은, 점심식사, 저녁식사, 셀프바",35,5.0,2,,,,,,
우정식당,37.520603,126.905671," 간장게장, 병어조림",우정식당,영등포 ,",노포",33,0.0,1,<b>우정식당</b>,"한식>백반,가정식",서울특별시 영등포구 영등포동5가 24 동남상가아파트 1층 우정식당,서울특별시 영등포구 영등포로37길 4 동남상가아파트 1층 우정식당,1269056713,375206032
한옥집김치찜 롯데백화점영등포점,37.515491,126.907492," 김치찜, 한식",한옥집김치찜 롯데백화점영등포점,영등포 ,"혼밥,한옥집, 점심식사",31,0.0,0,<b>한옥집김치찜 롯데백화점 영등포점</b>,"한식>찌개,전골",서울특별시 영등포구 영등포동 618-496 지하1층,서울특별시 영등포구 경인로 846 지하1층,1269073819,375159236
